title;Body;Nid;postdate;Published;startdate;enddate;Term;LocationName;Uid;username
ons tweede Alegria-weekend;Hou dit weekend vrij, voor ons super-alegria-weekend!;616;1372864326;Yes;1384538400;1384642800;Optreden;nog op zoek;2;marleen
ons tweede Alegria-weekend;Hou dit weekend vrij, voor ons super-alegria-weekend!;616;1372864326;Yes;1384538400;1384642800;Practische Info;nog op zoek;2;marleen
Repetitie, in de harmonielokalen;;615;1371118170;Yes;1377950400;1377959400;Repetitie;harmonielokalen;2;marleen
Repetitie, in de harmonielokalen;;614;1371118104;Yes;1376740800;1376749800;Repetitie;harmonielokaal;2;marleen
Repetitie, Torenhofschool;We oefenen Rumba en Passion Train. <br/>En ik breng nog iets nieuw mee...;613;1370335845;Yes;1373788800;1373796000;Repetitie;torenhofschool;2;marleen
trouwmis Davy;We spelen<br/>Canon van Pachelbel<br/>Your Song<br/>Only Time<br/>Canarios<br/>Anadidura<br/>Minor Swing;579;1356087192;Yes;1373113800;1373117400;Optreden;kerk;2;marleen
repeteren voor de trouwmis in de kerk;Klaarzetten, inspelen, soundcheck, oefenen<br/>Canon van Pachelbel<br/>Your Song<br/>Only Time<br/>Canarios<br/>Anadidura<br/>Minor Swing;610;1367782260;Yes;1373106600;1373112000;Repetitie;Sint Eligiuskerk;2;marleen
Onze jaarlijkse barbecue!;Dit jaar in CC De Roose, na een repetitie, de barbecue.;606;1364982185;Yes;1372590000;1372604400;Optreden;CC De Roose;2;marleen
Repetitie;Eerst repeteren, dan eten...;609;1367782115;Yes;1372579200;1372588200;Repetitie;CC De Roose;2;marleen
Repetitie: let op: van 13-14u!;Your song<br/>anadidura<br/>Minor swing;608;1367782056;Yes;1371898800;1371902400;Repetitie;Ernest Claesklas;2;marleen
Repetitie;Rumba<br/>Canon<br/>Your song<br/>Canarios;612;1368714360;Yes;1371297600;1371304800;Repetitie;;2;marleen
GEEN REPETITIE;Geen repetitie dus...;611;1368714301;Yes;1370642400;1370642400;Repetitie;;2;marleen
Repetitie, met harde kern, en slechts 1 uurke!;Rumba<br/>Canarios<br/>anadidura<br/>...;607;1367782008;Yes;1370088000;1370091600;Repetitie;;2;marleen
Repetitie;;604;1362654422;Yes;1369483200;1369490400;Repetitie;;2;marleen
Repetitie, GEEN halfuurke vroeger!;Rumba<br/>Your song<br/>Canarios<br/>.....;603;1362654370;Yes;1368878400;1368885600;Repetitie;Ernest Claesklas;2;marleen
geen repetitie;Verlengd weekend;602;1362654285;Yes;1368223200;1368223200;Repetitie;;2;marleen
Repetitie in Handelklas, muziekacademie;Minor Swing<br/>Only time<br/>Canon<br/>Your song<br/>iets nieuw...(oud nieuw eigenlijk);601;1362654143;Yes;1367740800;1367748000;Repetitie;Handelklas;2;marleen
geen repetitie,wel morgen in Handelklas;Geen repetitie dus....;598;1362653833;Yes;1367618400;1367618400;Repetitie;Handelklas;2;marleen
Geen repetitie!!!!;Wie dacht dat het repetitie was, moet ik teleurstellen..... Sorry.... Ik ben de volgende repetitie (Summa?) aan het voorbereiden.... ;600;1362654062;Yes;1367064000;1367071200;Repetitie;Ernest Claesklas;2;marleen
uitwisseling met CGO in Cambridge;onze tweede uitwisseling naar Cambridge. Na ongeveer 10 jaar...;553;1341179891;Yes;1366380000;1366578000;Optreden;Cambridge;2;marleen
uitwisseling met CGO in Cambridge;onze tweede uitwisseling naar Cambridge. Na ongeveer 10 jaar...;553;1341179891;Yes;1366380000;1366578000;Uitwisseling;Cambridge;2;marleen
uitwisseling met CGO in Cambridge;Vertrek aan Kunstacademie op vrijdag 19 april om 16h stipt<br/>terug aan de academie op zondag 21 april om 22u30 (niet zo stipt....);599;1362653975;Yes;1366380000;1366576200;Uitwisseling;Kunstacademie;2;marleen
